Tableau des balises et attributs du site-XML,,,,

Titre de la balise,Balises parents associées,Balises enfants associées,Noms d'attribut valides,Description de la valeur
siteData,N/A,"dateTime, location, warnings, currentConditions, forecastGroup, yesterdayConditions, riseset, almanac, license","xmlns:xsi, xsi:noNamespaceSchemaLocation",Présente la balise parent d'ensemble et fixe les données du site à l'aide des balises enfants.
dateTime,"siteData, currentConditions, forecastGroup, hourlyForecastGroup, riseSet","year, month, day, hour, minute, timeStamp, textSummary","name, zone, UTCOFFset",Fixe la date et les valeurs temporelles à l'aide des balises enfants.
year,dateTime,N/A,N/A,Fixe l'année (4 chiffres)
month,dateTime,N/A,name,Fixe le mois (de 01 à 12)
day,dateTime,N/A,name,Fixe le jour (de 01 à 31)
hour,dateTime,N/A,N/A,Fixe l'heure (de 00 à 23)
minute,dateTime,N/A,N/A,Fixe les minutes (de 00 à 59)
timeStamp,dateTime,N/A,N/A,Fixe l'horodateur (aaaammjjhhmm)
textSummary,"dateTime, regionalNormals, forecast, cloudPrecip, abbreviatedForecast, temperatures, precipitation, winds, comfort",N/A,N/A,"Présente une chaîne de texte général afin de décrire les renseignements de la balise parent (p. ex. le jeudi 2 novembre 2006, à 18 h 1 UTC)"
location,siteData,"continent, country, province, name, region",N/A,Décrit l'emplacement des données à l'aide des balises enfants.
continent,location,N/A,N/A,Présente une chaîne de texte qui décrit le continent des données
country,location,N/A,code,Présente une chaîne de texte qui décrit le pays des données.
province,location,N/A,code,Présente une chaîne de texte qui décrit la province des données.
name,location,N/A,code,Présente une chaîne de texte qui décrit le site des données.
region,location,N/A,N/A,Présente une chaîne de texte qui décrit la région des données.
warnings,siteData,event,URL,Indique qu'il y a un avertissement ou une veille émis.
event,warnings,dateTime,"type, priority, description",Décrit le type d'avertissement ou de veille émis.
currentConditions,siteData,"station, dateTime, condition, iconCode, temperature, dewpoint, pressure, visibility, relativeHumidity, wind",N/A,Fixe les conditions actuelles à l'aide des balises enfants.
station,currentConditions,N/A,"code,lat,lon",Présente une chaîne de texte qui décrit la station (p. ex. l'aéroport de Yellowknife).
condition,"currentConditions,hourlyForecast",textSummary,iconCode,Présente une chaîne de texte qui décrit les conditions météorologiques (p. ex. généralement nuageux).
iconCode,"currentConditions, abbreviatedForecast, hourlyForecast",N/A,format,text string setting the icon code (eg. 01)
